m,n,r,d,||A||_0,||A^+||_0,||A^+||_1,||hatA^+||_0,||hatA^+||_1,1_norm_P123_LS_||H||_1,1_norm_P123_LS_||H||_0,1_norm_P123_LS_Time(s),1_norm_P1_LS_||H||_1,1_norm_P1_LS_||H||_0,1_norm_P1_LS_Time(s),1_norm_P1_sym_LS_||H||_1,1_norm_P1_sym_LS_||H||_0,1_norm_P1_sym_LS_Time(s)
180,90,15,0.25,1770,1751,90.19041058788716,1992,134.23442129855354,76.83596776498037,555,5.5781660079956055,98.26362272081556,113,5.525907516479492,98.26362272081555,113,6.063059329986572
180,90,15,0.25,1937,1944,113.38224831679159,2776,177.42089049160847,89.75118385000812,491,5.840667247772217,132.09526548256534,103,5.707115411758423,132.09526548256537,103,5.824318885803223
180,90,30,0.1,746,745,110.86316813264428,897,125.13198877396617,103.25095151262508,382,5.834579944610596,136.51932030392453,160,6.133397102355957,136.51932030392453,160,5.9568116664886475
180,90,30,0.1,807,807,131.00277037273054,865,142.70286562503185,126.35814028670603,427,6.289197683334351,142.66723166073814,164,5.864453077316284,142.66723166073817,164,5.7525646686553955
180,90,30,0.1,822,823,132.2829411423225,1016,152.96991926990398,121.10451766130193,471,5.565787315368652,137.9435152527564,232,5.868516683578491,137.9435152527564,232,6.039366245269775
180,90,30,0.1,770,770,122.97319726272067,981,147.4628776998582,111.4389066625889,550,6.135818004608154,129.5430665116922,216,5.975244045257568,129.54306651169222,216,5.972366094589233
180,90,30,0.1,763,764,113.9528052672772,860,114.76765657484819,97.11790487332703,362,5.933137655258179,83.85514539458956,148,5.901152849197388,83.85514539458956,148,5.68166971206665
180,90,30,0.1,756,763,124.15558880882905,808,148.94259641104657,109.29114540265986,428,5.860326528549194,112.18314100098485,184,5.769850730895996,112.18314100098482,184,5.845727443695068
180,90,30,0.1,756,755,123.46608786987656,868,125.64163469025456,114.09116288589584,671,5.691324234008789,100.93851317226637,228,5.657233476638794,100.9385131722664,228,5.737209320068359
180,90,30,0.1,755,753,118.62904278882405,994,128.46094684058235,101.81165247232039,547,5.984838247299194,92.53413481106384,236,5.897989273071289,92.53413481106384,236,6.2916953563690186
180,90,30,0.1,742,743,109.59274905631437,1018,107.45430496350403,97.4774021233022,615,6.279409408569336,88.63095627020529,274,5.5840373039245605,84.628875074363,266,5.855628490447998
180,90,30,0.1,744,749,120.44477898666162,999,143.99243258076496,96.86589640569284,357,6.07403302192688,90.88140264241659,176,5.782546281814575,90.88140264241659,176,5.944998741149902
180,90,30,0.25,1841,1839,161.67209612069243,2679,200.6363480051408,156.54732661758325,1160,6.337886333465576,195.95102439851541,372,5.677058219909668,195.95102439851541,372,6.044041633605957
180,90,30,0.25,1912,1901,166.26115786728064,1967,213.61961917964146,152.32801557778006,1138,6.121258735656738,258.4520164948888,398,5.887171983718872,258.4520164948884,398,5.574628829956055
180,90,30,0.25,1877,1878,168.94518812761865,2213,211.91496786140416,177.49548580534335,1347,5.662159442901611,243.0257184880129,412,5.639819383621216,243.0257184880129,412,5.8817009925842285
180,90,30,0.25,1790,1799,153.94167180037022,1662,140.69504668082962,144.2177772031623,1085,5.848291397094727,122.31393736087487,404,5.89730429649353,122.31393736087485,404,6.006636142730713
180,90,30,0.25,1878,1865,176.6428926924532,2013,211.2670237629513,158.63631312770735,1126,6.16611647605896,184.0402144471358,450,5.900707721710205,184.04021444713578,450,6.196883201599121
180,90,30,0.25,1864,1872,157.97895113394236,2322,170.72379631840948,147.8469008581869,1105,5.701160907745361,152.3466275753159,372,5.723193645477295,152.34662757531586,372,5.571063756942749
180,90,30,0.25,1837,1832,175.66622139241957,2243,221.1728927489466,168.8092538665743,1374,5.892366647720337,207.14355554371002,434,5.607171297073364,207.14355554371008,434,5.484083652496338
180,90,30,0.25,1901,1894,154.39305686868863,2185,162.60503775697833,144.90373878656683,1243,6.10104775428772,140.6546868050861,396,5.617475509643555,140.65468680508616,396,5.96647834777832
180,90,30,0.25,1873,1887,149.2722689904877,2038,179.63736652059458,128.9240441125467,761,5.981881380081177,137.51816533352454,316,5.853370428085327,137.51816533352454,316,5.717771053314209
180,90,30,0.25,1833,1846,160.10321957870968,1983,162.16095662080016,137.2670062302019,1333,5.822857141494751,110.82831039317749,422,6.015318870544434,110.82831039317749,422,6.143547058105469
180,90,45,0.1,752,751,156.5567615153497,650,160.2758310362354,147.27460824806658,560,5.826104402542114,135.93648097243982,297,6.172796964645386,135.93648097243982,297,5.8275511264801025
180,90,45,0.1,741,746,162.86737121846198,809,152.51615768226736,168.31677685924328,623,5.766148567199707,184.08080078205344,349,5.730104923248291,184.08080078205347,349,6.079679727554321
180,90,45,0.1,807,808,144.45794502838544,697,130.88256292278152,144.04300855291524,962,5.7918150424957275,147.20725991226064,455,6.2846832275390625,147.2072599122606,455,5.994365453720093
180,90,45,0.1,762,762,154.69117533467212,696,155.22365045415913,147.09645232493617,542,5.861730575561523,141.4407908981191,313,5.496962308883667,141.44079089811916,313,5.885306358337402
180,90,45,0.1,803,808,166.70821533818065,751,161.62134182334577,161.1922060918494,832,5.682559490203857,150.97893252097205,517,5.650240898132324,150.97893252097205,517,5.959284543991089
180,90,45,0.1,769,775,152.5857176654862,689,143.55447691901685,143.9195716173795,579,6.034312009811401,125.12085822459609,327,5.633922576904297,125.12085822459609,327,5.868662595748901
180,90,45,0.1,757,757,144.83310608629634,654,125.49493843184597,138.1261131622382,586,5.835309267044067,116.46501181626665,309,6.031175374984741,116.46501181626664,309,5.724554061889648
180,90,45,0.1,793,799,152.1814030057712,828,146.9257119344785,138.49860667166894,755,5.995045185089111,112.28796158414195,391,5.647441387176514,112.28796158414197,391,5.687809467315674
180,90,45,0.1,808,809,145.13715216303405,936,136.59346239885517,139.94375139065852,541,5.581983804702759,127.99473460042576,287,5.7238099575042725,127.99473460042576,287,5.9771788120269775
180,90,45,0.1,787,786,154.4357845760858,1003,145.33508616705248,151.4341950744427,768,5.902565240859985,150.05272077328232,365,6.076709032058716,150.0527207732822,365,6.125240087509155
180,90,45,0.25,1925,1917,209.77724479098396,1704,219.83583708339793,212.81054126115504,1440,5.737521648406982,266.1659573324564,673,5.680579662322998,266.1659573324564,673,6.09336519241333
180,90,45,0.25,1902,1908,212.7218282738075,1733,209.8029132299723,210.0143104583804,1861,5.621070146560669,228.80481411694086,639,5.733125686645508,228.80481411694086,639,5.939950942993164
180,90,45,0.25,1840,1829,186.70883102537795,1692,166.47393701737528,175.45971093630232,1603,6.03758692741394,146.34655268579763,695,5.82242488861084,146.34655268579766,695,8.77734112739563
180,90,45,0.25,1881,1888,195.7290765784421,1715,183.6623119407127,197.1226849813723,1561,5.777400970458984,193.24583027943635,837,5.915569067001343,193.24583027943632,837,5.821239233016968
180,90,45,0.25,1849,1869,199.0522445945885,1902,218.2887737063142,198.77908946175566,2053,5.882405757904053,222.9492141982821,805,5.872551441192627,222.949214198282,805,6.086369276046753
180,90,45,0.25,1874,1876,200.42694445282126,1923,206.7855451723554,190.89168543516658,1751,6.19721245765686,171.1226830453672,735,5.755630731582642,171.12268304536724,735,5.982709646224976
180,90,45,0.25,1885,1896,227.26699765230615,1879,223.67335690794155,227.49749309732863,1897,6.039930105209351,214.69937783202616,699,5.59839391708374,214.69937783202613,699,5.992358446121216
180,90,45,0.25,1963,1958,220.74877152897471,1780,207.17033702031227,212.77070374324865,1502,6.011303663253784,171.35905940507922,687,5.794216632843018,171.3590594050792,687,6.093677282333374
180,90,45,0.25,1888,1888,202.30864344628282,1603,184.2235883870169,199.3044559188162,1711,5.953660488128662,169.86428089110592,719,5.717143774032593,169.86428089110592,719,5.837243556976318
180,90,45,0.25,1876,1863,210.94456152774276,1706,202.9579768276436,211.07764976582908,1696,5.772586822509766,212.85755583217508,775,5.800182580947876,212.85755583217497,775,5.93629002571106
